Name,Debut,Final,Position,Height,Weight,Birthday,School,HOF,Active,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS
Al Carlson,1976,1976,['Center'],83,235.0,"September 17, 1951",['Oregon'],False,False,28,2.6,2.6,0.5,34.2,,62.1,,9.0,0.1
Branden Carlson,2025,2025,['Center'],84,220.0,"June 14, 1999",['Utah'],False,True,32,3.8,1.7,0.4,44.3,33.3,77.8,55.7,17.6,0.9
Don Carlson,1947,1951,"['Guard', 'Forward']",72,170.0,"March 22, 1919",['Minnesota'],False,False,180,8.0,1.7,1.8,33.0,,62.3,,,11.3
Bob Carney,1955,1955,['Guard'],75,170.0,"August 3, 1932",['Bradley'],False,False,19,3.6,2.4,0.8,37.5,,52.5,,8.9,0.3
Rodney Carney,2007,2011,['Forward'],79,205.0,"April 15, 1984",['Memphis'],False,False,299,5.9,2.0,0.4,42.2,33.8,70.4,48.5,11.9,6.2
Bob Carpenter,1950,1951,"['Forward', 'Center']",77,200.0,"November 6, 1917",['Texas A&M University-Commerce'],False,False,122,7.7,4.1,1.4,33.7,,76.8,,,6.9
Antoine Carr,1985,2000,"['Forward', 'Center']",81,225.0,"July 23, 1961",['Wichita State'],False,False,987,9.3,3.4,1.1,50.3,13.0,78.0,50.3,14.2,42.1
Austin Carr,1972,1981,['Guard'],76,200.0,"March 10, 1948",['Notre Dame'],False,False,682,15.4,2.9,2.8,44.9,15.4,80.4,44.9,15.0,32.9
Chris Carr,1996,2001,['Guard'],77,207.0,"March 12, 1974",['Southern Illinois'],False,False,297,6.7,2.2,1.0,41.6,33.8,80.7,46.2,11.9,3.9
Cory Carr,1999,1999,['Guard'],75,210.0,"December 5, 1975",['Texas Tech'],False,False,42,4.1,1.2,1.6,32.9,16.7,75.0,34.0,5.1,-1.2
Kenny Carr,1978,1987,['Forward'],79,220.0,"August 15, 1955",['NC State'],False,False,674,11.6,7.4,1.4,51.0,7.9,68.4,51.0,14.7,33.6
M.L. Carr,1976,1985,"['Forward', 'Guard']",78,205.0,"January 9, 1951",['Guilford College'],False,False,678,10.0,4.5,2.0,47.2,27.5,73.7,47.6,14.0,33.5
Darel Carrier,1968,1973,['Guard'],75,185.0,"October 26, 1940",['Western Kentucky'],False,False,350,20.0,3.4,2.6,41.7,37.7,85.1,45.1,15.6,30.5
Bob Carrington,1978,1980,"['Guard', 'Forward']",78,195.0,"July 3, 1953",['Boston College'],False,False,82,8.2,2.3,1.5,42.8,0.0,76.0,42.8,9.4,1.3
Bub Carrington,2025,2025,['Guard'],76,190.0,"July 21, 2005",['Pitt'],False,True,82,9.8,4.2,4.4,40.1,33.9,81.2,49.3,9.0,0.2
DeMarre Carroll,2010,2020,['Forward'],78,215.0,"July 27, 1986","['Vanderbilt', ' Missouri']",False,False,578,8.9,4.2,1.3,43.0,35.8,74.1,50.8,13.3,29.5
Joe Barry Carroll,1981,1991,"['Center', 'Forward']",84,225.0,"July 24, 1958",['Purdue'],False,False,705,17.7,7.7,1.8,47.4,0.0,74.7,47.4,16.4,35.6
Matt Carroll,2004,2013,['Guard'],78,212.0,"August 28, 1980",['Notre Dame'],False,False,459,6.6,1.9,0.7,41.3,38.4,84.1,48.2,11.6,10.7
Jimmy Carruth,1997,1997,"['Center', 'Forward']",82,265.0,"November 4, 1969",['Virginia Tech'],False,False,4,1.3,1.0,0.0,66.7,,100.0,66.7,9.7,0.0
Anthony Carter,2000,2012,['Guard'],73,190.0,"June 16, 1975",['Hawaii'],False,False,623,4.8,2.1,3.8,40.4,25.0,70.6,42.3,10.8,10.4
Butch Carter,1981,1986,['Guard'],77,180.0,"June 11, 1958",['Indiana'],False,False,361,8.7,1.5,1.9,47.5,30.7,78.8,48.5,12.7,8.5
Devin Carter,2025,2025,['Guard'],74,195.0,"March 18, 2002","['South Carolina', ' Providence']",False,True,36,3.8,2.1,1.1,37.0,29.5,59.1,44.1,10.8,0.4
Fred Carter,1970,1977,"['Guard', 'Forward']",75,185.0,"February 14, 1945","[""Mount St. Mary's University""]",False,False,611,15.2,3.9,3.5,42.5,,69.3,,14.0,14.8
George Carter,1968,1976,"['Forward', 'Guard']",76,210.0,"January 10, 1944",['St. Bonaventure'],False,False,479,18.1,6.8,2.0,44.5,30.1,81.3,44.9,15.0,24.3
Howard Carter,1984,1985,['Guard'],77,215.0,"October 26, 1961",['LSU'],False,False,66,5.3,1.3,1.1,44.0,22.7,77.4,44.7,10.3,0.0
Jake Carter,1950,1950,"['Forward', 'Center']",76,195.0,"July 25, 1924",['Texas A&M University-Commerce'],False,False,24,3.4,,1.0,30.7,,67.9,,,0.7
Jevon Carter,2019,2025,['Guard'],73,200.0,"September 14, 1995",['West Virginia'],False,True,412,5.2,1.7,1.6,39.4,37.9,79.9,51.4,10.3,8.5
Maurice Carter,2004,2004,['Guard'],77,210.0,"October 12, 1976",['LSU'],False,False,10,4.2,1.1,0.4,31.4,36.4,80.0,37.1,5.8,0.0
Reggie Carter,1981,1982,['Guard'],75,175.0,"October 10, 1957","['Hawaii', "" St. John's""]",False,False,135,3.5,1.2,1.5,38.8,0.0,77.2,38.8,9.1,0.4
Ron Carter,1979,1980,['Guard'],77,190.0,"August 31, 1956",['Virginia Military Institute'],False,False,59,3.0,1.1,0.6,42.9,,62.3,42.9,8.0,-0.2
Vince Carter,1999,2020,"['Guard', 'Forward']",78,220.0,"January 26, 1977",['UNC'],True,False,1541,16.7,4.3,3.1,43.5,37.1,79.8,48.9,18.6,125.3
Wendell Carter Jr.,2019,2025,['Center'],82,270.0,"April 16, 1999",['Duke'],False,True,383,11.9,8.3,2.0,50.9,31.6,72.9,55.0,16.2,27.1
Michael Carter-Williams,2014,2023,['Guard'],77,190.0,"October 10, 1991",['Syracuse'],False,True,395,10.2,4.3,4.3,40.2,25.6,70.5,42.6,13.5,6.6
D.J. Carton,2024,2025,['Guard'],74,200.0,"August 5, 2000","['Ohio State', ' Marquette']",False,True,8,1.8,1.0,0.8,26.7,14.3,83.3,30.0,3.7,-0.1
Bill Cartwright,1980,1995,['Center'],85,245.0,"July 30, 1957",['San Francisco'],False,False,963,13.2,6.3,1.4,52.5,0.0,77.1,52.5,15.2,72.8
Jay Carty,1969,1969,['Forward'],80,220.0,"July 4, 1941",['Oregon State'],False,False,28,2.7,2.1,0.4,38.2,,72.7,,10.1,-0.1
Alex Caruso,2018,2025,['Guard'],77,186.0,"February 28, 1994",['Texas A&M'],False,True,417,6.9,2.9,2.8,44.0,37.6,75.8,53.4,12.5,20.6
Cornelius Cash,1977,1977,['Forward'],80,215.0,"March 3, 1952",['Bowling Green'],False,False,6,3.5,2.7,0.2,39.1,,50.0,,12.0,0.0
Sam Cash,1973,1973,['Forward'],80,230.0,"November 13, 1950","['San Bernardino Valley College', ' University of California', ' Riverside']",False,False,7,2.9,2.7,0.0,22.2,,70.6,22.2,3.1,-0.1
Sam Cassell,1994,2008,['Guard'],75,185.0,"November 18, 1969",['Florida State'],False,False,993,15.7,3.2,6.0,45.4,33.1,86.1,48.0,19.5,87.5
Omri Casspi,2010,2019,['Forward'],81,225.0,"June 22, 1988",,False,False,588,7.9,4.0,1.1,45.4,36.8,67.8,52.0,13.0,19.6
Stephon Castle,2025,2025,['Guard'],78,215.0,"November 1, 2004",['UConn'],False,True,81,14.7,3.7,4.1,42.8,28.5,72.4,47.6,13.7,1.1
Colin Castleton,2024,2025,['Forward'],83,250.0,"May 25, 2000","['Michigan', ' Florida']",False,True,42,3.5,3.2,0.7,48.2,12.5,79.5,49.1,11.5,0.8
Harvey Catchings,1975,1985,"['Center', 'Forward']",81,218.0,"September 2, 1951",['Hardin-Simmons University'],False,False,725,3.2,5.0,0.8,43.5,0.0,64.7,43.5,9.6,21.2
Terry Catledge,1986,1993,['Forward'],80,220.0,"August 22, 1963",['University of South Alabama'],False,False,515,12.7,6.4,0.9,48.5,9.4,65.4,48.5,14.1,20.9
Sid Catlett,1972,1972,['Forward'],78,230.0,"April 18, 1948",['Notre Dame'],False,False,9,0.7,0.4,0.1,22.2,,22.2,,-1.4,-0.2
Kelvin Cato,1998,2007,['Center'],83,255.0,"August 26, 1974","['University of South Alabama', ' Iowa State']",False,False,541,5.5,5.3,0.5,50.7,7.7,64.4,50.7,14.4,28.6
Bobby Cattage,1982,1986,['Forward'],81,250.0,"August 17, 1958",['Auburn'],False,False,78,3.1,1.4,0.1,40.4,14.3,76.5,40.6,10.2,0.3
Willie Cauley-Stein,2016,2022,"['Forward', 'Center']",84,240.0,"August 18, 1993",['Kentucky'],False,True,422,8.7,5.9,1.4,54.4,18.8,61.2,54.5,16.6,23.3
Troy Caupain,2019,2019,['Guard'],76,210.0,"November 29, 1995",['Cincinnati'],False,False,4,2.5,0.8,1.0,50.0,66.7,,62.5,30.7,0.1
Duane Causwell,1991,2001,['Center'],84,240.0,"May 31, 1968",['Temple'],False,False,541,4.9,4.2,0.4,50.7,28.6,61.8,50.8,11.7,15.8
Tyler Cavanaugh,2018,2019,['Forward'],81,238.0,"February 9, 1994",['George Washington'],False,False,50,3.8,2.7,0.6,43.2,35.1,82.6,53.4,12.4,1.2
Ron Cavenall,1985,1989,['Center'],85,230.0,"April 30, 1959",['Texas Southern'],False,False,58,1.4,2.9,0.3,33.7,,54.5,33.7,4.2,-0.2
Ahmad Caver,2022,2022,['Guard'],74,175.0,"September 12, 1996",['Old Dominion'],False,True,1,2.0,0.0,0.0,100.0,,,100.0,76.2,0.0
Malcolm Cazalon,2024,2024,['Guard'],78,212.0,"August 27, 2001",,False,True,1,0.0,0.0,0.0,,,,,0.0,0.0
Cedric Ceballos,1991,2001,['Forward'],79,220.0,"August 2, 1969",['Cal State Fullerton'],False,False,609,14.3,5.3,1.2,50.0,30.9,75.3,51.8,19.3,40.4
John Celestand,2000,2000,['Guard'],76,178.0,"March 6, 1977",['Villanova'],False,False,16,2.3,0.7,1.3,33.3,22.2,83.3,35.6,2.7,-0.1
Al Cervi,1950,1953,"['Guard', 'Forward']",71,170.0,"February 12, 1917",,True,False,202,7.9,1.8,3.2,35.9,,83.9,,21.1,21.9
Lionel Chalmers,2005,2005,['Guard'],72,180.0,"November 10, 1980",['Xavier'],False,False,36,3.1,0.9,1.4,33.6,24.5,62.5,38.4,6.5,-0.2
Mario Chalmers,2009,2018,['Guard'],74,190.0,"May 19, 1986",['Kansas'],False,False,646,8.9,2.5,3.7,41.7,35.1,79.3,49.8,12.7,32.3
Bill Chamberlain,1973,1974,['Forward'],78,188.0,"December 16, 1949",['UNC'],False,False,78,5.3,2.5,1.4,41.0,25.0,65.2,41.3,10.4,0.5
Wilt Chamberlain,1960,1973,['Center'],85,275.0,"August 21, 1936",['Kansas'],True,False,1045,30.1,22.9,4.4,54.0,,51.1,,26.2,247.3
Jerry Chambers,1967,1974,['Forward'],77,185.0,"July 18, 1943","['Trinidad State Junior College', ' Utah']",False,False,320,8.3,3.2,0.8,44.0,20.0,77.4,44.0,13.1,5.2
Tom Chambers,1982,1998,"['Forward', 'Center']",82,220.0,"June 21, 1959",['Utah'],False,False,1107,18.1,6.1,2.1,46.8,30.7,80.7,47.6,16.5,79.0
Julian Champagnie,2023,2025,['Forward'],80,220.0,"June 29, 2001","[""St. John's""]",False,True,173,8.6,3.4,1.3,41.7,37.2,85.7,54.7,11.7,4.7
Justin Champagnie,2022,2025,['Forward'],78,200.0,"June 29, 2001",['Pitt'],False,True,118,6.1,4.1,0.8,48.7,36.2,73.2,57.3,15.0,3.9
Mike Champion,1989,1989,['Forward'],82,230.0,"April 5, 1964",['Gonzaga'],False,False,2,0.0,0.0,0.0,0.0,0.0,,0.0,-43.7,-0.1
Kennedy Chandler,2023,2023,['Guard'],72,171.0,"September 16, 2002",['Tennessee'],False,True,36,2.2,1.1,1.6,42.2,13.3,46.2,43.4,10.6,0.3
Tyson Chandler,2002,2020,['Center'],84,235.0,"October 2, 1982",,False,False,1160,8.2,9.0,0.8,59.7,0.0,64.4,59.7,16.1,102.1
Wilson Chandler,2008,2020,['Forward'],80,235.0,"May 10, 1987",['DePaul'],False,False,676,12.5,5.3,1.8,44.3,34.1,77.0,50.2,12.8,29.0
Don Chaney,1969,1980,['Guard'],77,210.0,"March 22, 1946",['Houston'],False,False,790,8.4,4.0,2.2,43.6,20.0,77.6,43.7,11.6,36.3
John Chaney,1950,1950,"['Forward', 'Center']",75,185.0,"February 29, 1920",['LSU'],False,False,16,4.4,,1.3,29.1,,69.0,,,-0.1
Rex Chapman,1989,2000,['Guard'],76,185.0,"October 5, 1967",['Kentucky'],False,False,666,14.6,2.5,2.7,43.0,35.0,80.0,47.7,13.9,24.7
Wayne Chapman,1969,1972,"['Guard', 'Forward']",78,190.0,"June 15, 1945",['Western Kentucky'],False,False,206,7.0,2.5,1.5,38.3,25.7,69.1,39.3,8.8,1.1
Len Chappell,1963,1972,"['Forward', 'Center']",80,240.0,"January 31, 1941",['Wake Forest'],False,False,670,9.3,5.1,0.8,45.2,,69.7,45.2,15.6,21.9
Ken Charles,1974,1978,['Guard'],75,180.0,"July 10, 1951",['Fordham'],False,False,322,8.5,2.0,2.5,44.1,,78.9,,11.9,9.8
Lorenzo Charles,1986,1986,['Forward'],79,225.0,"November 25, 1963",['NC State'],False,False,36,3.4,1.1,0.2,55.7,,66.7,55.7,11.5,0.5
Joe Chealey,2019,2020,['Guard'],75,190.0,"November 1, 1995",['College of Charleston'],False,False,5,0.8,0.0,0.4,10.0,0.0,100.0,10.0,-1.9,-0.1
Calbert Cheaney,1994,2006,"['Guard', 'Forward']",79,209.0,"July 17, 1971",['Indiana'],False,False,825,9.5,3.2,1.7,46.6,29.8,69.1,48.0,11.0,23.1
Zylan Cheatham,2020,2022,['Forward'],77,220.0,"November 17, 1995","['San Diego State', ' Arizona State']",False,True,5,2.4,1.8,0.6,50.0,0.0,,50.0,4.0,0.0
Maurice Cheeks,1979,1993,['Guard'],73,180.0,"September 8, 1956",['West Texas A&M University'],True,False,1101,11.1,2.8,6.7,52.3,25.5,79.3,52.6,16.5,103.5
Phil Chenier,1972,1981,['Guard'],75,180.0,"October 30, 1950",['California'],False,False,578,17.2,3.6,3.0,44.4,40.0,80.6,44.5,15.3,39.3
Will Cherry,2015,2015,['Guard'],72,185.0,"February 8, 1991",['Montana'],False,False,8,1.9,0.6,1.0,26.3,22.2,50.0,31.6,5.8,0.0
Derrick Chievous,1989,1991,['Forward'],79,195.0,"July 3, 1967",['Missouri'],False,False,154,7.1,2.4,0.7,44.3,24.2,75.5,44.8,11.8,2.7
Pete Chilcutt,1992,2000,"['Forward', 'Center']",82,230.0,"September 14, 1968",['UNC'],False,False,584,4.3,3.3,0.8,44.1,38.1,69.6,48.1,11.9,10.6
Josh Childress,2005,2014,"['Guard', 'Forward']",80,210.0,"June 20, 1983",['Stanford'],False,False,391,9.1,4.7,1.6,52.2,32.9,77.9,54.2,15.6,25.7
Randolph Childress,1996,1997,['Guard'],74,188.0,"September 21, 1972",['Wake Forest'],False,False,51,2.4,0.5,1.0,32.8,27.3,80.0,40.3,5.9,-0.2
Chris Childs,1995,2003,['Guard'],75,195.0,"November 20, 1967",['Boise State'],False,False,541,6.9,2.4,4.9,40.3,34.4,81.6,46.1,11.2,22.9
Chris Chiozza,2019,2022,['Guard'],71,175.0,"November 21, 1995",['Florida'],False,True,91,3.3,1.3,2.4,35.3,34.3,80.0,44.6,9.3,0.8
Leroy Chollet,1950,1951,['Forward'],74,190.0,"March 5, 1925",['Canisius'],False,False,63,2.9,1.1,0.8,29.1,,62.7,,,0.2
Ulrich Chomche,2025,2025,"['Forward', 'Center']",82,235.0,"December 30, 2005",,False,True,7,0.7,1.1,0.3,40.0,,50.0,40.0,5.2,0.0
Jim Chones,1973,1982,"['Center', 'Forward']",83,220.0,"November 30, 1949",['Marquette'],False,False,788,12.5,8.2,1.6,47.8,0.0,68.0,47.8,13.9,45.8
Marquese Chriss,2017,2022,['Forward'],81,240.0,"July 2, 1997",['Washington'],False,True,292,7.6,4.7,1.0,45.6,29.0,66.7,50.0,13.4,6.5
Fred Christ,1955,1955,['Guard'],76,210.0,"August 6, 1930",['Fordham'],False,False,6,3.3,1.3,1.2,27.8,,90.9,,17.1,0.1
Cal Christensen,1951,1955,"['Forward', 'Center']",77,210.0,"June 6, 1927",['Toledo'],False,False,291,5.2,5.5,1.6,33.0,,60.6,,12.0,8.2
Bob Christian,1970,1974,['Center'],82,255.0,"May 11, 1946",['Grambling State University'],False,False,248,3.8,4.1,0.8,48.5,,70.4,48.5,12.3,5.7
Cam Christie,2025,2025,['Guard'],77,190.0,"July 24, 2005",['Minnesota'],False,True,13,1.4,0.9,0.5,29.2,15.4,50.0,33.3,9.1,0.0
Doug Christie,1993,2007,"['Guard', 'Forward']",78,200.0,"May 9, 1970",['Pepperdine'],False,False,827,11.2,4.1,3.6,42.6,35.4,82.1,47.9,14.6,55.7
Max Christie,2023,2025,['Guard'],78,190.0,"February 10, 2003",['Michigan State'],False,True,186,6.2,2.6,1.2,42.6,37.0,84.1,52.3,9.4,4.0
Dionte Christmas,2014,2014,['Guard'],77,205.0,"September 15, 1986",['Temple'],False,False,31,2.3,1.2,0.3,35.5,29.0,75.0,42.7,11.1,0.3
Rakeem Christmas,2016,2017,['Forward'],81,250.0,"December 1, 1991",['Syracuse'],False,False,30,2.1,1.9,0.1,46.7,,72.4,46.7,11.0,0.5
Semaj Christon,2017,2017,['Guard'],75,190.0,"November 1, 1992",['Xavier'],False,False,64,2.9,1.4,2.0,34.5,19.0,54.8,37.2,5.7,0.1
Josh Christopher,2022,2025,['Guard'],77,215.0,"December 8, 2001",['Arizona State'],False,True,152,6.5,1.8,1.5,45.1,27.3,73.7,49.7,11.9,0.2
Patrick Christopher,2015,2015,"['Guard', 'Forward']",77,209.0,"June 3, 1988",['California'],False,False,4,1.5,1.5,0.0,25.0,0.0,,25.0,-2.6,-0.1
Steve Chubin,1968,1970,['Guard'],74,200.0,"February 8, 1944",['Rhode Island'],False,False,226,12.8,3.8,3.9,39.8,19.6,82.0,40.1,14.7,12.6
Robert Churchwell,1996,1996,"['Guard', 'Forward']",78,195.0,"February 20, 1972",['Georgetown'],False,False,4,1.5,0.8,0.3,37.5,,,37.5,1.2,-0.1
Sidy Cissoko,2024,2025,['Guard'],80,200.0,"April 2, 2004",,False,True,34,2.3,1.3,0.7,46.0,16.0,62.5,49.2,9.6,0.2
Archie Clark,1967,1976,['Guard'],74,175.0,"July 15, 1941",['Minnesota'],False,False,725,16.3,3.3,4.8,48.0,,76.9,,16.4,64.7
Carlos Clark,1984,1985,['Guard'],76,210.0,"August 10, 1960",['Ole Miss'],False,False,93,2.4,0.9,0.7,40.7,0.0,80.3,40.7,9.5,0.6
Dick Clark,1968,1969,['Guard'],76,190.0,"January 5, 1944",['Eastern Kentucky University'],False,False,58,6.2,2.4,1.7,29.6,5.6,67.5,29.7,4.3,-0.1
Earl Clark,2010,2015,['Forward'],82,225.0,"January 17, 1988",['Louisville'],False,False,261,4.4,3.0,0.5,40.3,32.8,66.4,43.9,10.2,2.9
Gary Clark,2019,2022,['Forward'],78,225.0,"November 16, 1994",['Cincinnati'],False,True,170,3.1,2.5,0.5,35.1,32.6,83.8,48.9,9.0,3.0
Ian Clark,2014,2019,['Guard'],75,175.0,"March 7, 1991",['Belmont'],False,False,330,5.6,1.3,1.2,43.9,34.0,80.4,51.3,10.3,4.4
Jaylen Clark,2025,2025,['Guard'],77,205.0,"October 13, 2001",['UCLA'],False,True,40,4.1,1.3,0.7,46.7,43.1,78.4,55.8,12.0,1.6
Keon Clark,1999,2004,"['Forward', 'Center']",83,220.0,"April 16, 1975","['Irvine Valley College', ' Dixie State (UT)', ' UNLV']",False,False,353,8.2,5.9,0.9,50.0,5.3,64.5,50.0,15.4,18.2
Brandon Clarke,2020,2025,['Forward'],80,215.0,"September 19, 1996","['San Jose State', ' Gonzaga']",False,True,307,10.2,5.5,1.3,60.6,26.6,69.8,61.7,19.8,24.6
Coty Clarke,2016,2016,['Forward'],79,232.0,"July 4, 1992",['Arkansas'],False,False,3,2.0,0.3,0.0,50.0,100.0,,75.0,23.9,0.0
Jordan Clarkson,2015,2025,['Guard'],75,194.0,"June 7, 1992","['Tulsa', ' Missouri']",False,True,753,16.0,3.4,2.9,43.6,33.6,82.9,50.4,15.3,24.0
Gian Clavell,2018,2018,['Guard'],76,185.0,"November 26, 1993",['Colorado State'],False,False,7,2.9,1.0,0.4,33.3,40.0,100.0,50.0,7.4,0.1
Victor Claver,2013,2015,['Forward'],81,224.0,"August 30, 1988",,False,False,80,3.2,2.2,0.7,39.8,29.3,58.5,46.6,7.5,0.2
John Clawson,1969,1969,['Forward'],76,200.0,"May 15, 1944",['Michigan'],False,False,70,4.7,2.8,0.7,47.6,,68.5,47.6,7.0,1.3
Charles Claxton,1996,1996,['Center'],84,265.0,"December 13, 1970",['Georgia'],False,False,3,0.7,0.7,0.0,50.0,,0.0,50.0,0.2,0.0
Nic Claxton,2020,2025,['Center'],83,215.0,"April 17, 1999",['Georgia'],False,True,311,10.3,7.7,1.7,63.6,20.0,53.7,63.8,18.5,26.1
Speedy Claxton,2002,2009,['Guard'],71,166.0,"May 8, 1978",['Hofstra'],False,False,334,9.3,2.5,4.3,40.9,19.3,76.2,41.7,14.5,14.2
Jim Cleamons,1972,1980,['Guard'],75,185.0,"September 13, 1949",['Ohio State'],False,False,652,8.3,3.0,3.9,46.0,22.6,76.5,46.1,12.6,29.1
Mateen Cleaves,2001,2006,['Guard'],74,205.0,"September 7, 1977",['Michigan State'],False,False,167,3.6,1.0,1.9,38.9,26.7,72.8,39.9,8.5,-0.8
Barry Clemens,1966,1976,['Forward'],78,210.0,"May 1, 1943",['Ohio Wesleyan University'],False,False,790,6.7,3.2,1.1,45.4,,75.6,,12.4,18.6
Chris Clemons,2020,2020,['Guard'],69,180.0,"July 23, 1997",['Campbell'],False,True,33,4.9,0.9,0.8,40.1,34.6,90.9,53.2,13.1,0.4
Antonius Cleveland,2018,2020,['Guard'],77,195.0,"February 2, 1994",['SE Missouri State'],False,False,28,1.2,0.8,0.1,34.3,42.9,63.6,38.6,4.0,-0.1
Nat Clifton,1951,1958,"['Center', 'Forward']",78,220.0,"October 13, 1922",['Xavier University of Louisiana'],True,False,544,10.0,8.2,2.5,36.1,,63.3,,14.3,15.0
Donovan Clingan,2025,2025,['Center'],86,280.0,"February 23, 2004",['UConn'],False,True,67,6.5,7.9,1.1,53.9,28.6,59.6,56.0,17.4,4.0
Bill Closs,1950,1952,"['Forward', 'Center']",77,195.0,"January 8, 1922",['Rice University'],False,False,186,9.0,5.0,1.9,31.5,,71.8,,10.5,7.1
Keith Closs,1998,2000,['Center'],87,212.0,"April 3, 1976",['Central Connecticut State University'],False,False,130,3.9,2.9,0.3,47.1,0.0,60.6,47.1,14.2,1.9
Noah Clowney,2024,2025,['Forward'],82,210.0,"July 14, 2004",['Alabama'],False,True,69,8.0,3.8,0.8,39.4,33.7,80.0,50.0,10.5,1.3
Paul Cloyd,1950,1950,"['Guard', 'Forward']",74,180.0,"June 13, 1920",['Wisconsin'],False,False,7,2.7,,0.3,26.9,,62.5,,,-0.1
Bob Cluggish,1947,1947,['Center'],82,235.0,"September 18, 1917",['Kentucky'],False,False,54,4.4,,0.4,26.1,,57.1,,,1.1
Ben Clyde,1975,1975,['Forward'],79,198.0,"June 10, 1952",['Florida State'],False,False,25,2.8,1.6,0.2,43.1,,77.8,,11.3,0.2
Amir Coffey,2020,2025,['Guard'],79,210.0,"June 17, 1997",['Minnesota'],False,True,323,6.7,1.9,1.1,45.5,38.4,83.7,54.9,10.8,11.7
Richard Coffey,1991,1991,['Forward'],78,212.0,"September 2, 1965",['Minnesota'],False,False,52,1.3,1.5,0.1,37.3,0.0,54.5,37.3,7.9,0.2
Fred Cofield,1986,1987,['Guard'],75,190.0,"January 4, 1962","['Oregon', ' Eastern Michigan']",False,False,50,3.4,1.0,1.7,39.5,18.8,60.0,40.3,7.7,-0.5
John Coker,1996,2001,['Center'],84,253.0,"October 28, 1971",['Boise State'],False,False,25,1.6,1.2,0.1,40.9,,83.3,40.9,8.9,0.1
Norris Cole,2012,2017,['Guard'],74,175.0,"October 13, 1988",['Cleveland State University'],False,False,360,7.0,2.0,2.7,40.7,32.4,74.3,44.9,9.2,3.0
Ben Coleman,1987,1994,['Forward'],81,235.0,"November 14, 1961","['Minnesota', ' Maryland']",False,False,227,6.6,4.1,0.6,51.6,0.0,75.9,51.6,12.3,5.0
Derrick Coleman,1991,2005,"['Forward', 'Center']",82,230.0,"June 21, 1967",['Syracuse'],False,False,781,16.5,9.3,2.5,44.7,29.5,76.9,46.2,18.0,64.3
E.C. Coleman,1974,1979,['Forward'],80,225.0,"September 25, 1950",['Houston Baptist University'],False,False,357,7.2,6.0,1.3,46.4,,69.4,,10.0,12.8
Jack Coleman,1950,1958,"['Forward', 'Center']",79,195.0,"May 23, 1924",['Louisville'],False,False,633,10.6,9.2,2.8,41.6,,69.5,,15.8,47.7
Norris Coleman,1988,1988,['Forward'],80,210.0,"September 27, 1961",['Kansas State'],False,False,29,5.3,2.8,0.4,34.6,50.0,55.6,34.8,6.6,-0.4
Bimbo Coles,1991,2004,['Guard'],73,180.0,"April 22, 1968",['Virginia Tech'],False,False,852,7.8,2.1,3.9,42.5,26.7,81.1,44.7,12.1,27.4
Isaiah Collier,2025,2025,['Guard'],75,210.0,"October 8, 2004",['USC'],False,True,71,8.7,3.3,6.3,42.2,24.9,68.2,45.9,9.7,-0.8
Jason Collier,2001,2005,['Center'],84,260.0,"September 8, 1977","['Indiana', ' Georgia Tech']",False,False,151,5.6,2.9,0.3,45.5,35.0,73.8,46.0,11.7,1.9
Art Collins,1981,1981,['Guard'],76,185.0,"April 14, 1954",['St. Thomas University'],False,False,29,3.2,1.4,0.9,35.4,0.0,66.7,35.4,4.3,-0.4
Don Collins,1981,1987,"['Forward', 'Guard']",78,190.0,"November 28, 1958",['Washington State'],False,False,303,9.8,2.8,1.8,48.5,6.9,74.9,48.5,14.5,10.5
Doug Collins,1974,1981,"['Guard', 'Forward']",78,180.0,"July 28, 1951",['Illinois State'],True,False,415,17.9,3.2,3.3,50.1,0.0,83.3,50.1,16.1,38.0
James Collins,1998,1998,['Guard'],76,196.0,"November 5, 1973",['Florida State'],False,False,23,2.6,0.6,0.1,38.2,45.0,57.1,46.4,15.3,0.0
Jarron Collins,2002,2011,"['Forward', 'Center']",83,255.0,"December 2, 1978",['Stanford'],False,False,542,3.9,2.9,0.8,45.5,0.0,69.9,45.5,9.4,15.7
Jason Collins,2002,2014,['Center'],84,255.0,"December 2, 1978",['Stanford'],False,False,735,3.6,3.7,0.9,41.1,20.6,64.7,41.2,7.0,20.1
Jimmy Collins,1971,1972,['Guard'],74,175.0,"November 24, 1946",['New Mexico State'],False,False,74,3.8,0.9,0.9,41.4,,80.4,,12.2,0.6
John Collins,2018,2025,['Forward'],81,235.0,"September 23, 1997",['Wake Forest'],False,True,472,16.0,8.1,1.5,54.6,36.3,79.2,59.1,18.9,39.2
Mardy Collins,2007,2010,['Guard'],78,220.0,"August 4, 1984",['Temple'],False,False,189,3.9,1.8,1.7,38.0,29.9,59.9,40.5,7.9,-1.6
Sherron Collins,2011,2011,['Guard'],71,205.0,"March 18, 1987",['Kansas'],False,False,20,0.9,0.3,0.4,28.0,20.0,100.0,32.0,3.6,-0.2
Yuri Collins,2025,2025,['Guard'],72,190.0,"March 7, 2001",['Saint Louis'],False,True,2,1.0,1.5,2.0,33.3,,,33.3,13.9,0.1
Zach Collins,2018,2025,"['Center', 'Forward']",83,250.0,"November 19, 1997",['Gonzaga'],False,True,378,8.0,4.8,1.8,48.2,33.1,76.7,53.3,13.8,11.9
